sku,fichier,mapping_absent,statut,nb_sommets,bbox_w_mm,bbox_h_mm,hauteur_mur_mm,projection_plafond_mm,motif_type,motif_periode_mm,insunits,proposition_unite,proposition_motif,message
1102BH,1102BH.stl,True,ERREUR_UNITES,0,,,,,,,,mm,"plus grande dimension bbox native=200.006 -> 200.0mm si insunits=4 (mm), plage plausible moulure [10.0-400.0]mm","Aucune entree dans units_override.csv pour '1102BH' ou '1102BH.stl'. Un maillage STL/OBJ n'a pas d'equivalent $INSUNITS fiable — unite NON deduite automatiquement (regle stricte, meme principe que dxf2profile.py). Proposition indicative par plausibilite de bbox: insunits=4 (mm) — plus grande dimension bbox native=200.006 -> 200.0mm si insunits=4 (mm), plage plausible moulure [10.0-400.0]mm. Ajouter cette ligne a units_override.csv pour confirmer."
1202,1202.stl,True,ERREUR_UNITES,0,,,,,,,,code_8,"plus grande dimension bbox native=1500.000 -> 38.1mm si insunits=8 (code_8), plage plausible moulure [10.0-400.0]mm","Aucune entree dans units_override.csv pour '1202' ou '1202.stl'. Un maillage STL/OBJ n'a pas d'equivalent $INSUNITS fiable — unite NON deduite automatiquement (regle stricte, meme principe que dxf2profile.py). Proposition indicative par plausibilite de bbox: insunits=8 (code_8) — plus grande dimension bbox native=1500.000 -> 38.1mm si insunits=8 (code_8), plage plausible moulure [10.0-400.0]mm. Ajouter cette ligne a units_override.csv pour confirmer."
Corniches - D631,Corniches - D631.stl,True,ERREUR_UNITES,0,,,,,,,,code_8,"plus grande dimension bbox native=2000.000 -> 50.8mm si insunits=8 (code_8), plage plausible moulure [10.0-400.0]mm","Aucune entree dans units_override.csv pour 'Corniches - D631' ou 'Corniches - D631.stl'. Un maillage STL/OBJ n'a pas d'equivalent $INSUNITS fiable — unite NON deduite automatiquement (regle stricte, meme principe que dxf2profile.py). Proposition indicative par plausibilite de bbox: insunits=8 (code_8) — plus grande dimension bbox native=2000.000 -> 50.8mm si insunits=8 (code_8), plage plausible moulure [10.0-400.0]mm. Ajouter cette ligne a units_override.csv pour confirmer."
D898,D898.stl,True,ERREUR_UNITES,0,,,,,,,,code_8,"plus grande dimension bbox native=2000.000 -> 50.8mm si insunits=8 (code_8), plage plausible moulure [10.0-400.0]mm","Aucune entree dans units_override.csv pour 'D898' ou 'D898.stl'. Un maillage STL/OBJ n'a pas d'equivalent $INSUNITS fiable — unite NON deduite automatiquement (regle stricte, meme principe que dxf2profile.py). Proposition indicative par plausibilite de bbox: insunits=8 (code_8) — plus grande dimension bbox native=2000.000 -> 50.8mm si insunits=8 (code_8), plage plausible moulure [10.0-400.0]mm. Ajouter cette ligne a units_override.csv pour confirmer."
Parements - CL39 et PLINCL12.PC,Parements - CL39 et PLINCL12.PC.stl,True,ERREUR_UNITES,0,,,,,,,,code_8,"plus grande dimension bbox native=2309.978 -> 58.7mm si insunits=8 (code_8), plage plausible moulure [10.0-400.0]mm","Aucune entree dans units_override.csv pour 'Parements - CL39 et PLINCL12.PC' ou 'Parements - CL39 et PLINCL12.PC.stl'. Un maillage STL/OBJ n'a pas d'equivalent $INSUNITS fiable — unite NON deduite automatiquement (regle stricte, meme principe que dxf2profile.py). Proposition indicative par plausibilite de bbox: insunits=8 (code_8) — plus grande dimension bbox native=2309.978 -> 58.7mm si insunits=8 (code_8), plage plausible moulure [10.0-400.0]mm. Ajouter cette ligne a units_override.csv pour confirmer."
